,MESSAGE,LABEL,label,cleaned_message,tokenized_message,no_stop_message,stemmed_message
10,Check out Fenty Beauty Fanny Pack / Bum Bag,ham,0,Check out Fenty Beauty Fanny Pack  Bum Bag,"['check', 'out', 'fenty', 'beauty', 'fanny', 'pack', 'bum', 'bag']","['check', 'fenty', 'beauty', 'fanny', 'pack', 'bum', 'bag']","['check', 'fenti', 'beauti', 'fanni', 'pack', 'bum', 'bag']"
11,Wiki Voucher Code:#Clinique Get three free minis plus free delivery when you spend £40 or more at Clin ,ham,0,Wiki Voucher CodeClinique Get three free minis plus free delivery when you spend £40 or more at Clin ,"['wiki', 'voucher', 'codeclinique', 'get', 'three', 'free', 'minis', 'plus', 'free', 'delivery', 'when', 'you', 'spend', '40', 'or', 'more', 'at', 'clin', '']","['wiki', 'voucher', 'codeclinique', 'get', 'three', 'free', 'minis', 'plus', 'free', 'delivery', 'spend', '40', 'clin', '']","['wiki', 'voucher', 'codecliniqu', 'get', 'three', 'free', 'mini', 'plu', 'free', 'deliveri', 'spend', '40', 'clin', '']"
12,@ohmybeautybank Moisturizer Nivea\nSun screen L'oreal\nPrimer Maybelline\nloose powder Emina\nMascara Maybelline Hyper,ham,0,ohmybeautybank Moisturizer NiveanSun screen LorealnPrimer Maybellinenloose powder EminanMascara Maybelline Hyper,"['ohmybeautybank', 'moisturizer', 'niveansun', 'screen', 'lorealnprimer', 'maybellinenloose', 'powder', 'eminanmascara', 'maybelline', 'hyper']","['ohmybeautybank', 'moisturizer', 'niveansun', 'screen', 'lorealnprimer', 'maybellinenloose', 'powder', 'eminanmascara', 'maybelline', 'hyper']","['ohmybeautybank', 'moistur', 'niveansun', 'screen', 'lorealnprim', 'maybellinenloos', 'powder', 'eminanmascara', 'maybellin', 'hyper']"
13,Vicky Nixon:@glow_smokey Lancome Miracle. Also really love the flowerbomb,ham,0,Vicky Nixonglowsmokey Lancome Miracle Also really love the flowerbomb,"['vicky', 'nixonglowsmokey', 'lancome', 'miracle', 'also', 'really', 'love', 'the', 'flowerbomb']","['vicky', 'nixonglowsmokey', 'lancome', 'miracle', 'also', 'really', 'love', 'flowerbomb']","['vicki', 'nixonglowsmokey', 'lancom', 'miracl', 'also', 'realli', 'love', 'flowerbomb']"
14,Fenty Beauty unveils Cheeks Out Freestyle Cream Blush campaign with Rihanna,ham,0,Fenty Beauty unveils Cheeks Out Freestyle Cream Blush campaign with Rihanna,"['fenty', 'beauty', 'unveils', 'cheeks', 'out', 'freestyle', 'cream', 'blush', 'campaign', 'with', 'rihanna']","['fenty', 'beauty', 'unveils', 'cheeks', 'freestyle', 'cream', 'blush', 'campaign', 'rihanna']","['fenti', 'beauti', 'unveil', 'cheek', 'freestyl', 'cream', 'blush', 'campaign', 'rihanna']"
15,[NYX Slim Lip Liner Pencil - Nude Truffle - SLP 855] #LipLiners,ham,0,NYX Slim Lip Liner Pencil  Nude Truffle  SLP 855 LipLiners,"['nyx', 'slim', 'lip', 'liner', 'pencil', 'nude', 'truffle', 'slp', '855', 'lipliners']","['nyx', 'slim', 'lip', 'liner', 'pencil', 'nude', 'truffle', 'slp', '855', 'lipliners']","['nyx', 'slim', 'lip', 'liner', 'pencil', 'nude', 'truffl', 'slp', '855', 'liplin']"
16,I\u2019m shade light ivory in Nyx total control drop foundation; does anyone know what shade I\u2019d be in the colour pop ti\u2026,ham,0,Iu2019m shade light ivory in Nyx total control drop foundation does anyone know what shade Iu2019d be in the colour pop tiu2026,"['iu2019m', 'shade', 'light', 'ivory', 'in', 'nyx', 'total', 'control', 'drop', 'foundation', 'does', 'anyone', 'know', 'what', 'shade', 'iu2019d', 'be', 'in', 'the', 'colour', 'pop', 'tiu2026']","['iu2019m', 'shade', 'light', 'ivory', 'nyx', 'total', 'control', 'drop', 'foundation', 'anyone', 'know', 'shade', 'iu2019d', 'colour', 'pop', 'tiu2026']","['iu2019m', 'shade', 'light', 'ivori', 'nyx', 'total', 'control', 'drop', 'foundat', 'anyon', 'know', 'shade', 'iu2019d', 'colour', 'pop', 'tiu2026']"
17,@Muhasaaa: Brown lip liner and NYX butter gloss fortune cookie &gt;&gt;&gt; best nude on all complexions,ham,0,Muhasaaa Brown lip liner and NYX butter gloss fortune cookie gtgtgt best nude on all complexions,"['muhasaaa', 'brown', 'lip', 'liner', 'and', 'nyx', 'butter', 'gloss', 'fortune', 'cookie', 'gtgtgt', 'best', 'nude', 'on', 'all', 'complexions']","['muhasaaa', 'brown', 'lip', 'liner', 'nyx', 'butter', 'gloss', 'fortune', 'cookie', 'gtgtgt', 'best', 'nude', 'complexions']","['muhasaaa', 'brown', 'lip', 'liner', 'nyx', 'butter', 'gloss', 'fortun', 'cooki', 'gtgtgt', 'best', 'nude', 'complexion']"
18,50% Off + Free 6-pc. Gift + FS on Elizabeth Arden Mother's Day Sitewide Sale + 10% Cash Back,spam,1,50 Off  Free 6pc Gift  FS on Elizabeth Arden Mothers Day Sitewide Sale  10 Cash Back,"['50', 'off', 'free', '6pc', 'gift', 'fs', 'on', 'elizabeth', 'arden', 'mothers', 'day', 'sitewide', 'sale', '10', 'cash', 'back']","['50', 'free', '6pc', 'gift', 'fs', 'elizabeth', 'arden', 'mothers', 'day', 'sitewide', 'sale', '10', 'cash', 'back']","['50', 'free', '6pc', 'gift', 'fs', 'elizabeth', 'arden', 'mother', 'day', 'sitewid', 'sale', '10', 'cash', 'back']"
19,clarins_uk love the products,ham,0,clarinsuk love the products,"['clarinsuk', 'love', 'the', 'products']","['clarinsuk', 'love', 'products']","['clarinsuk', 'love', 'product']"
20,Fenty Beauty PRO Filt\u2019R Hydrating\u00a0Foundation,ham,0,Fenty Beauty PRO Filtu2019R Hydratingu00a0Foundation,"['fenty', 'beauty', 'pro', 'filtu2019r', 'hydratingu00a0foundation']","['fenty', 'beauty', 'pro', 'filtu2019r', 'hydratingu00a0foundation']","['fenti', 'beauti', 'pro', 'filtu2019r', 'hydratingu00a0found']"
21,You really said FENTY is up there with givenchy and Fendi with your whole chest hm \ud83d\ude2c,ham,0,You really said FENTY is up there with givenchy and Fendi with your whole chest hm ud83dude2c,"['you', 'really', 'said', 'fenty', 'is', 'up', 'there', 'with', 'givenchy', 'and', 'fendi', 'with', 'your', 'whole', 'chest', 'hm', 'ud83dude2c']","['really', 'said', 'fenty', 'givenchy', 'fendi', 'whole', 'chest', 'hm', 'ud83dude2c']","['realli', 'said', 'fenti', 'givenchi', 'fendi', 'whole', 'chest', 'hm', 'ud83dude2c']"
22,@bretmanrock: It was so cute working with @nyxcosmetics this year. My code DABADDEST still werks for 10% OFF all NYX Cosmetics products,ham,0,bretmanrock It was so cute working with nyxcosmetics this year My code DABADDEST still werks for 10 OFF all NYX Cosmetics products,"['bretmanrock', 'it', 'was', 'so', 'cute', 'working', 'with', 'nyxcosmetics', 'this', 'year', 'my', 'code', 'dabaddest', 'still', 'werks', 'for', '10', 'off', 'all', 'nyx', 'cosmetics', 'products']","['bretmanrock', 'cute', 'working', 'nyxcosmetics', 'year', 'code', 'dabaddest', 'still', 'werks', '10', 'nyx', 'cosmetics', 'products']","['bretmanrock', 'cute', 'work', 'nyxcosmet', 'year', 'code', 'dabaddest', 'still', 'werk', '10', 'nyx', 'cosmet', 'product']"
23,Florida woman.@SadAndYellow MAC Studio Fix (the one I wore) is $31. Fenty is $35. The only other brand that I've heard rivaling F,ham,0,Florida womanSadAndYellow MAC Studio Fix the one I wore is 31 Fenty is 35 The only other brand that Ive heard rivaling F,"['florida', 'womansadandyellow', 'mac', 'studio', 'fix', 'the', 'one', 'i', 'wore', 'is', '31', 'fenty', 'is', '35', 'the', 'only', 'other', 'brand', 'that', 'ive', 'heard', 'rivaling', 'f', '']","['florida', 'womansadandyellow', 'mac', 'studio', 'fix', 'one', 'wore', '31', 'fenty', '35', 'brand', 'ive', 'heard', 'rivaling', 'f', '']","['florida', 'womansadandyellow', 'mac', 'studio', 'fix', 'one', 'wore', '31', 'fenti', '35', 'brand', 'ive', 'heard', 'rival', 'f', '']"
24,"RT @MaryKay: \Remember that you really are wonderful.\"" \u2013 Mary Kay Ash #MondayMotivation #MaryKay",ham,0,RT MaryKay Remember that you really are wonderful u2013 Mary Kay Ash MondayMotivation MaryKay,"['rt', 'marykay', 'remember', 'that', 'you', 'really', 'are', 'wonderful', 'u2013', 'mary', 'kay', 'ash', 'mondaymotivation', 'marykay']","['rt', 'marykay', 'remember', 'really', 'wonderful', 'u2013', 'mary', 'kay', 'ash', 'mondaymotivation', 'marykay']","['rt', 'marykay', 'rememb', 'realli', 'wonder', 'u2013', 'mari', 'kay', 'ash', 'mondaymotiv', 'marykay']"
25,GREAT DEAL...$9.75 Clinique Skincare Set + F\/S\n\n($40.50 Value),spam,1,GREAT DEAL975 Clinique Skincare Set  FSnn4050 Value,"['', 'great', 'deal975', 'clinique', 'skincare', 'set', 'fsnn4050', 'value']","['', 'great', 'deal975', 'clinique', 'skincare', 'set', 'fsnn4050', 'value']","['', 'great', 'deal975', 'cliniqu', 'skincar', 'set', 'fsnn4050', 'valu']"
26,RealCodeDiscount:***?????? ??????????U???? / ???????? / ?????????????? ??????????***-The PRICE can CHANGE  ANY TIME-**£12.02**,spam,1,RealCodeDiscount U     The PRICE can CHANGE  ANY TIME£1202,"['realcodediscount', 'u', 'the', 'price', 'can', 'change', 'any', 'time', '1202']","['realcodediscount', 'u', 'price', 'change', 'time', '1202']","['realcodediscount', 'u', 'price', 'chang', 'time', '1202']"
27,"Marykay products really are wonderful.\"" \u2013 Mary Kay Ash #MondayMotivation #MaryKay",ham,0,Marykay products really are wonderful u2013 Mary Kay Ash MondayMotivation MaryKay,"['marykay', 'products', 'really', 'are', 'wonderful', 'u2013', 'mary', 'kay', 'ash', 'mondaymotivation', 'marykay']","['marykay', 'products', 'really', 'wonderful', 'u2013', 'mary', 'kay', 'ash', 'mondaymotivation', 'marykay']","['marykay', 'product', 'realli', 'wonder', 'u2013', 'mari', 'kay', 'ash', 'mondaymotiv', 'marykay']"
28,Being the Goddess of the night- NYX loves all things dark and mysterious. This Friday @cazztek's 'To The Beat',ham,0,Being the Goddess of the night NYX loves all things dark and mysterious This Friday cazzteks To The Beat,"['being', 'the', 'goddess', 'of', 'the', 'night', 'nyx', 'loves', 'all', 'things', 'dark', 'and', 'mysterious', 'this', 'friday', 'cazzteks', 'to', 'the', 'beat']","['goddess', 'night', 'nyx', 'loves', 'things', 'dark', 'mysterious', 'friday', 'cazzteks', 'beat']","['goddess', 'night', 'nyx', 'love', 'thing', 'dark', 'mysteri', 'friday', 'cazztek', 'beat']"
29,anyway - the only celeb make up brand i support and regularly buy from is fenty beauty. everyone else can go home,ham,0,anyway  the only celeb make up brand i support and regularly buy from is fenty beauty everyone else can go home,"['anyway', 'the', 'only', 'celeb', 'make', 'up', 'brand', 'i', 'support', 'and', 'regularly', 'buy', 'from', 'is', 'fenty', 'beauty', 'everyone', 'else', 'can', 'go', 'home']","['anyway', 'celeb', 'make', 'brand', 'support', 'regularly', 'buy', 'fenty', 'beauty', 'everyone', 'else', 'go', 'home']","['anyway', 'celeb', 'make', 'brand', 'support', 'regularli', 'buy', 'fenti', 'beauti', 'everyon', 'els', 'go', 'home']"
30,@themaiarain Is this the nyx matte but glittery lipstickMary Kay #Cosmetics are new #advertisers with The Net magazines- find them in your copy or on our website at\u2026,ham,0,themaiarain Is this the nyx matte but glittery lipstickMary Kay Cosmetics are new advertisers with The Net magazines find them in your copy or on our website atu2026,"['themaiarain', 'is', 'this', 'the', 'nyx', 'matte', 'but', 'glittery', 'lipstickmary', 'kay', 'cosmetics', 'are', 'new', 'advertisers', 'with', 'the', 'net', 'magazines', 'find', 'them', 'in', 'your', 'copy', 'or', 'on', 'our', 'website', 'atu2026']","['themaiarain', 'nyx', 'matte', 'glittery', 'lipstickmary', 'kay', 'cosmetics', 'new', 'advertisers', 'net', 'magazines', 'find', 'copy', 'website', 'atu2026']","['themaiarain', 'nyx', 'matt', 'glitteri', 'lipstickmari', 'kay', 'cosmet', 'new', 'advertis', 'net', 'magazin', 'find', 'copi', 'websit', 'atu2026']"
31,"Check out what I just added to my closet on Poshmark: Mary Kay travel bag. Earning #cryptocurrency for selling my stuff on @Listia! Join me using code \""BMNTCV\"" for an extra 100 XNK",spam,1,Check out what I just added to my closet on Poshmark Mary Kay travel bag Earning cryptocurrency for selling my stuff on Listia Join me using code BMNTCV for an extra 100 XNK,"['check', 'out', 'what', 'i', 'just', 'added', 'to', 'my', 'closet', 'on', 'poshmark', 'mary', 'kay', 'travel', 'bag', 'earning', 'cryptocurrency', 'for', 'selling', 'my', 'stuff', 'on', 'listia', 'join', 'me', 'using', 'code', 'bmntcv', 'for', 'an', 'extra', '100', 'xnk']","['check', 'added', 'closet', 'poshmark', 'mary', 'kay', 'travel', 'bag', 'earning', 'cryptocurrency', 'selling', 'stuff', 'listia', 'join', 'using', 'code', 'bmntcv', 'extra', '100', 'xnk']","['check', 'ad', 'closet', 'poshmark', 'mari', 'kay', 'travel', 'bag', 'earn', 'cryptocurr', 'sell', 'stuff', 'listia', 'join', 'use', 'code', 'bmntcv', 'extra', '100', 'xnk']"
32,DivineBrine: Natural glam &amp; using my very own gloss\u2728 @MorpheBrushes @fentybeauty @ABHcosmetics @LORAC_Cosmetics @Itcosmetics,ham,0,DivineBrine Natural glam amp using my very own glossu2728 MorpheBrushes fentybeauty ABHcosmetics LORACCosmetics Itcosmetics,"['divinebrine', 'natural', 'glam', 'amp', 'using', 'my', 'very', 'own', 'glossu2728', 'morphebrushes', 'fentybeauty', 'abhcosmetics', 'loraccosmetics', 'itcosmetics']","['divinebrine', 'natural', 'glam', 'amp', 'using', 'glossu2728', 'morphebrushes', 'fentybeauty', 'abhcosmetics', 'loraccosmetics', 'itcosmetics']","['divinebrin', 'natur', 'glam', 'amp', 'use', 'glossu2728', 'morphebrush', 'fentybeauti', 'abhcosmet', 'loraccosmet', 'itcosmet']"
33,LUCKY..@boxycharm:Here's Sneak Peek 3 for our BoxyCharm X Fenty Beauty Premium Box! All Premium members get a FREE @fentybeauty ,spam,1,LUCKYboxycharmHeres Sneak Peek 3 for our BoxyCharm X Fenty Beauty Premium Box All Premium members get a FREE fentybeauty ,"['lucky', 'boxycharmheres', 'sneak', 'peek', '3', 'for', 'our', 'boxycharm', 'x', 'fenty', 'beauty', 'premium', 'box', 'all', 'premium', 'members', 'get', 'a', 'free', 'fentybeauty', '']","['lucky', 'boxycharmheres', 'sneak', 'peek', '3', 'boxycharm', 'x', 'fenty', 'beauty', 'premium', 'box', 'premium', 'members', 'get', 'free', 'fentybeauty', '']","['lucki', 'boxycharmher', 'sneak', 'peek', '3', 'boxycharm', 'x', 'fenti', 'beauti', 'premium', 'box', 'premium', 'member', 'get', 'free', 'fentybeauti', '']"
34,Clinique Dramatically Different Moisturizing Cream Very Dry Dry Combination 50ml,ham,0,Clinique Dramatically Different Moisturizing Cream Very Dry Dry Combination 50ml,"['clinique', 'dramatically', 'different', 'moisturizing', 'cream', 'very', 'dry', 'dry', 'combination', '50ml']","['clinique', 'dramatically', 'different', 'moisturizing', 'cream', 'dry', 'dry', 'combination', '50ml']","['cliniqu', 'dramat', 'differ', 'moistur', 'cream', 'dri', 'dri', 'combin', '50ml']"
35,FENTY BEAUTY STUNNA LIP PAINT REVIEW,ham,0,FENTY BEAUTY STUNNA LIP PAINT REVIEW,"['fenty', 'beauty', 'stunna', 'lip', 'paint', 'review']","['fenty', 'beauty', 'stunna', 'lip', 'paint', 'review']","['fenti', 'beauti', 'stunna', 'lip', 'paint', 'review']"
36,Lot of 3 Clinique 7 Day Scrub Cream Rinse-off Formula 30ml,ham,0,Lot of 3 Clinique 7 Day Scrub Cream Rinseoff Formula 30ml,"['lot', 'of', '3', 'clinique', '7', 'day', 'scrub', 'cream', 'rinseoff', 'formula', '30ml']","['lot', '3', 'clinique', '7', 'day', 'scrub', 'cream', 'rinseoff', 'formula', '30ml']","['lot', '3', 'cliniqu', '7', 'day', 'scrub', 'cream', 'rinseoff', 'formula', '30ml']"
37,Get a free $100 Mary Kay Gift Card! It will only take 1 minute of your time,spam,1,Get a free 100 Mary Kay Gift Card It will only take 1 minute of your time,"['get', 'a', 'free', '100', 'mary', 'kay', 'gift', 'card', 'it', 'will', 'only', 'take', '1', 'minute', 'of', 'your', 'time']","['get', 'free', '100', 'mary', 'kay', 'gift', 'card', 'take', '1', 'minute', 'time']","['get', 'free', '100', 'mari', 'kay', 'gift', 'card', 'take', '1', 'minut', 'time']"
38,NYX PROFESSIONAL MAKEUP Make Up Setting Spray Matte Finish Bundle with Dewy Finish - Combo\n   \nGet it for $9.98,ham,0,NYX PROFESSIONAL MAKEUP Make Up Setting Spray Matte Finish Bundle with Dewy Finish  Combon   nGet it for 998,"['nyx', 'professional', 'makeup', 'make', 'up', 'setting', 'spray', 'matte', 'finish', 'bundle', 'with', 'dewy', 'finish', 'combon', 'nget', 'it', 'for', '998']","['nyx', 'professional', 'makeup', 'make', 'setting', 'spray', 'matte', 'finish', 'bundle', 'dewy', 'finish', 'combon', 'nget', '998']","['nyx', 'profession', 'makeup', 'make', 'set', 'spray', 'matt', 'finish', 'bundl', 'dewi', 'finish', 'combon', 'nget', '998']"
39,@GiantessNyx Yay!! We really seem to have similar taste in movies and shows. What are your faves Nyx?,ham,0,GiantessNyx Yay We really seem to have similar taste in movies and shows What are your faves Nyx,"['giantessnyx', 'yay', 'we', 'really', 'seem', 'to', 'have', 'similar', 'taste', 'in', 'movies', 'and', 'shows', 'what', 'are', 'your', 'faves', 'nyx']","['giantessnyx', 'yay', 'really', 'seem', 'similar', 'taste', 'movies', 'shows', 'faves', 'nyx']","['giantessnyx', 'yay', 'realli', 'seem', 'similar', 'tast', 'movi', 'show', 'fave', 'nyx']"
40,[NYX PROFESSIONAL MAKEUP Pore Filler Primer] #BronzersHighlighters,ham,0,NYX PROFESSIONAL MAKEUP Pore Filler Primer BronzersHighlighters,"['nyx', 'professional', 'makeup', 'pore', 'filler', 'primer', 'bronzershighlighters']","['nyx', 'professional', 'makeup', 'pore', 'filler', 'primer', 'bronzershighlighters']","['nyx', 'profession', 'makeup', 'pore', 'filler', 'primer', 'bronzershighlight']"
41,I love a good NARS but NYX can get it too-beloved,ham,0,I love a good NARS but NYX can get it toobeloved,"['i', 'love', 'a', 'good', 'nars', 'but', 'nyx', 'can', 'get', 'it', 'toobeloved']","['love', 'good', 'nars', 'nyx', 'get', 'toobeloved']","['love', 'good', 'nar', 'nyx', 'get', 'toobelov']"
42,"Working at L'Oreal emptying bottles of lotion at 2 am with her boss who says--\""Is this NOT the MOST fun thing you'v\u2026",ham,0,Working at LOreal emptying bottles of lotion at 2 am with her boss who saysIs this NOT the MOST fun thing youvu2026,"['working', 'at', 'loreal', 'emptying', 'bottles', 'of', 'lotion', 'at', '2', 'am', 'with', 'her', 'boss', 'who', 'saysis', 'this', 'not', 'the', 'most', 'fun', 'thing', 'youvu2026']","['working', 'loreal', 'emptying', 'bottles', 'lotion', '2', 'boss', 'saysis', 'fun', 'thing', 'youvu2026']","['work', 'loreal', 'empti', 'bottl', 'lotion', '2', 'boss', 'saysi', 'fun', 'thing', 'youvu2026']"
43,Fenty Beauty foundation is 100% worth the money. Like the true dirt ball that I am- I drank too much on S\u2026,ham,0,Fenty Beauty foundation is 100 worth the money Like the true dirt ball that I am I drank too much on Su2026,"['fenty', 'beauty', 'foundation', 'is', '100', 'worth', 'the', 'money', 'like', 'the', 'true', 'dirt', 'ball', 'that', 'i', 'am', 'i', 'drank', 'too', 'much', 'on', 'su2026']","['fenty', 'beauty', 'foundation', '100', 'worth', 'money', 'like', 'true', 'dirt', 'ball', 'drank', 'much', 'su2026']","['fenti', 'beauti', 'foundat', '100', 'worth', 'money', 'like', 'true', 'dirt', 'ball', 'drank', 'much', 'su2026']"
44,L'Oreal Paris Skin Care Clean Artiste Oil Free Eye Makeup Remover (2 Pack) for $11.98,ham,0,LOreal Paris Skin Care Clean Artiste Oil Free Eye Makeup Remover 2 Pack for 1198,"['loreal', 'paris', 'skin', 'care', 'clean', 'artiste', 'oil', 'free', 'eye', 'makeup', 'remover', '2', 'pack', 'for', '1198']","['loreal', 'paris', 'skin', 'care', 'clean', 'artiste', 'oil', 'free', 'eye', 'makeup', 'remover', '2', 'pack', '1198']","['loreal', 'pari', 'skin', 'care', 'clean', 'artist', 'oil', 'free', 'eye', 'makeup', 'remov', '2', 'pack', '1198']"
45,My favorite nyx lipstick is about to end soon and idk where to buy that color it came in pack that was a gift,ham,0,My favorite nyx lipstick is about to end soon and idk where to buy that color it came in pack that was a gift,"['my', 'favorite', 'nyx', 'lipstick', 'is', 'about', 'to', 'end', 'soon', 'and', 'idk', 'where', 'to', 'buy', 'that', 'color', 'it', 'came', 'in', 'pack', 'that', 'was', 'a', 'gift']","['favorite', 'nyx', 'lipstick', 'end', 'soon', 'idk', 'buy', 'color', 'came', 'pack', 'gift']","['favorit', 'nyx', 'lipstick', 'end', 'soon', 'idk', 'buy', 'color', 'came', 'pack', 'gift']"
46,"@MaryKay: \""Remember that you really are wonderful.\"" \u2013 Mary Kay Ash #MondayMotivation #MaryKay",ham,0,MaryKay Remember that you really are wonderful u2013 Mary Kay Ash MondayMotivation MaryKay,"['marykay', 'remember', 'that', 'you', 'really', 'are', 'wonderful', 'u2013', 'mary', 'kay', 'ash', 'mondaymotivation', 'marykay']","['marykay', 'remember', 'really', 'wonderful', 'u2013', 'mary', 'kay', 'ash', 'mondaymotivation', 'marykay']","['marykay', 'rememb', 'realli', 'wonder', 'u2013', 'mari', 'kay', 'ash', 'mondaymotiv', 'marykay']"
47,Enter to win  + makeup goodies #giveaway #makeup #books #NYX #ELFcosmetics,spam,1,Enter to win   makeup goodies giveaway makeup books NYX ELFcosmetics,"['enter', 'to', 'win', 'makeup', 'goodies', 'giveaway', 'makeup', 'books', 'nyx', 'elfcosmetics']","['enter', 'win', 'makeup', 'goodies', 'giveaway', 'makeup', 'books', 'nyx', 'elfcosmetics']","['enter', 'win', 'makeup', 'goodi', 'giveaway', 'makeup', 'book', 'nyx', 'elfcosmet']"
